corpus,model,n_samples,sampling,measure,agg,corr,p-value,type
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_sum,-0.21690256885389606,9.762830965198228e-07,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_variance,-0.2865762988423534,6.601383237563158e-11,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_max,-0.2648492546330001,1.797413840430933e-09,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_mean,-0.4989459203693019,7.842289034858054e-33,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_ldiff,-0.13135749887647344,0.0032541428038552604,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_0_5,-0.13764072233557212,0.002037363637867298,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_0_75,-0.18325125168408188,3.750663515719946e-05,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_0,-0.21690256885389606,9.762830965198228e-07,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_25,-0.2467360356069885,2.2702839331730564e-08,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_5,-0.2710928210427299,7.164361694177208e-10,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_75,-0.2940809521786553,1.9691299381450316e-11,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_0,-0.3115597121270636,1.0227331181657815e-12,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_25,-0.3237750669595127,1.1486223286014874e-13,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_5,-0.3352667323901652,1.3389185855726954e-14,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_75,-0.3436070655351615,2.6569917761594523e-15,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_0,-0.3485787099596827,9.898323775536164e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_25,-0.3538263221721403,3.4244248978555486e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_5,-0.3560077109679646,2.1898767201458993e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_75,-0.35834227652693107,1.351913931574231e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_0,-0.35872241027413376,1.2493305216289194e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_25,-0.3579726073784012,1.4595977554080485e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_5,-0.35682342163423747,1.8510831242960922e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_75,-0.3554349902029847,2.463449514627703e-16,surprisal
Clasp,GPT-2 Medium,None,None,in_context_surprisal,agg_power_5_0,-0.35336141557513834,3.765092167296872e-16,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_sum,-0.26427119878218847,1.954851185655081e-09,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_variance,-0.2228036904531976,4.829301518804578e-07,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_max,-0.23127098416098743,1.6997392329728058e-07,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_mean,-0.5476768682349112,1.77714205636043e-40,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_ldiff,-0.11305006752031667,0.011417194772849576,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_0_5,-0.16638846297498475,0.00018598436789757058,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_0_75,-0.21900148893173893,7.61756894176361e-07,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_1_0,-0.26427119878218847,1.954851185655081e-09,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_1_25,-0.3001797490868318,7.175356100366532e-12,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_1_5,-0.32915099051257807,4.2502217905420134e-14,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_1_75,-0.35299289849251747,4.05859524203616e-16,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_2_0,-0.37300639545156994,5.958750568701808e-18,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_2_25,-0.38610768896799086,3.1913698973875585e-19,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_2_5,-0.3960331687981909,3.1777723165085665e-20,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_2_75,-0.4011431571372768,9.396515401739913e-21,surprisal
Clasp,OPT 1.3B,None,None,in_context_surprisal,agg_power_3_0,-0.40536360658642545,3.3803274851534614e-21,surprisal
