corpus,model,n_samples,sampling,measure,agg,corr,p-value,type
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_sum,-0.34502737588049054,0.0004389338046320168,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_variance,-0.2395885242283405,0.016357419862994358,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_max,-0.24495888650795256,0.014036122652804751,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_mean,-0.15008260067139967,0.13611580338346208,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_ldiff,-0.32236572834217886,0.0010720215107487207,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_0_5,-0.2923443543074892,0.003162825108308813,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_0_75,-0.32220797657885997,0.0010784521815706402,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_0,-0.34502737588049054,0.0004389338046320168,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_25,-0.3663724029326407,0.00017761979453201826,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_5,-0.38605496909442993,7.279976797214232e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_1_75,-0.39416705015432896,4.9565556388574553e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_0,-0.398305000253694,4.058170856137381e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_25,-0.4048577658069408,2.94050823312165e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_5,-0.40548270548470405,2.8505303193054192e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_2_75,-0.4088136946409379,2.4128530983667168e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_0,-0.4033105850513131,3.174833702727109e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_25,-0.40093824122601723,3.5682899634251746e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_5,-0.3969459081389466,4.334937299039981e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_3_75,-0.39376053599500715,5.054173557588721e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_0,-0.3854482315432034,7.48932535462928e-05,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_25,-0.3766990760545165,0.00011203097220144565,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_5,-0.3721121401672438,0.00013774376917303731,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_4_75,-0.3610634493594083,0.00022376954656794422,surprisal
Dailydialog,GPT-2 Medium,None,None,in_context_surprisal,agg_power_5_0,-0.3499540847964501,0.0003582155686002342,surprisal
Dailydialog,GPT-2 Small,None,None,in_context_surprisal,agg_sum,-0.32700120323354975,0.0008979628107288087,surprisal
Dailydialog,GPT-2 Small,None,None,in_context_surprisal,agg_variance,-0.26025400522311687,0.008921531557979916,surprisal
Dailydialog,GPT-2 Small,None,None,in_context_surprisal,agg_max,-0.24024220869764626,0.016058187280558998,surprisal
Dailydialog,GPT-2 Small,None,None,in_context_surprisal,agg_mean,-0.10460762120696966,0.30030975735021087,surprisal
Dailydialog,GPT-2 Small,None,None,in_context_surprisal,agg_ldiff,-0.3262488486700288,0.0009243338109516703,surprisal
Dailydialog,GPT-2 Small,None,None,in_context_surprisal,agg_power_0_5,-0.2815686953977056,0.004540527686595617,surprisal
